price,sqrt,location,bhk,Gymnasium,Lift Available,CarParking,Maintenance Staff,Swimming Pool
2725000.0,535.0,badlapur east,1.0,1,0,1,0,1
18000000.0,1309.0,thane west,3.0,1,0,1,0,0
16500000.0,970.0,powai,2.0,1,0,1,0,1
3000000.0,530.0,thane,1.0,1,1,1,1,0
16500000.0,756.0,borivali west,1.0,1,1,1,0,1
12000000.0,750.0,kandivali west,1.0,0,1,0,0,0
14000000.0,1320.0,sector 18,2.0,0,0,1,1,0
4000000.0,550.0,panvel,2.0,0,0,0,0,0
4427000.0,873.0,badlapur east,2.0,1,1,1,0,1
29500000.0,1818.0,malad east,3.0,1,1,0,0,0
12200000.0,855.0,malad east,2.0,0,1,0,0,0
17500000.0,1750.0,kharghar,3.0,1,1,1,1,1
2600000.0,590.0,nala sopara,1.0,1,1,1,0,1
16800000.0,751.0,chembur,2.0,0,0,0,0,0
7930000.0,1220.0,panvel,2.0,1,1,0,0,1
2600000.0,510.0,badlapur east,1.0,1,1,1,0,1
42000000.0,1200.0,lower parel,2.0,0,1,1,0,1
26500000.0,1450.0,magathane,3.0,0,1,0,1,0
17500000.0,3200.0,panvel,5.0,1,1,0,0,1
17000000.0,1250.0,unknown,2.0,0,0,1,0,0
29400000.0,1450.0,andheri,3.0,1,1,1,0,1
3661000.0,1077.0,boisar,3.0,1,0,0,0,1
3645000.0,810.0,virar,2.0,1,1,1,0,1
3600000.0,450.0,dombivali,1.0,0,1,1,0,1
19250000.0,800.0,powai,2.0,0,1,0,0,0
70000000.0,1824.0,bandra west,3.0,0,1,0,0,0
5000000.0,600.0,kharghar,1.0,0,1,1,1,0
11000000.0,750.0,jogeshwari west,1.0,0,1,1,0,0
6500000.0,720.0,kalwa,1.0,0,0,0,0,0
15500000.0,1387.0,kharghar,3.0,1,1,0,0,1
6900000.0,1100.0,kharghar,2.0,0,1,1,1,0
3467000.0,596.0,dombivali east,1.0,0,1,1,0,0
26400000.0,837.0,ville parle east,2.0,0,1,0,0,0
49500000.0,1092.0,worli,3.0,1,1,0,0,1
12000000.0,900.0,borivali west,2.0,1,1,0,0,1
18900000.0,1225.0,thakur complex,2.0,0,1,1,1,0
7400000.0,890.0,sector 17 ulwe,2.0,1,1,1,1,0
18900000.0,600.0,ville parle east,1.0,0,0,0,0,0
5299000.0,860.0,kalyan west,2.0,1,1,1,1,0
2400000.0,595.0,nala sopara,1.0,1,1,1,0,1
2700000.0,540.0,naigaon east,1.0,1,1,1,1,0
19800000.0,1450.0,malad west,3.0,1,1,1,0,1
8500000.0,575.0,thane west,1.0,1,1,1,0,1
12500000.0,1390.0,mira road east,3.0,1,1,1,0,1
9100000.0,600.0,mulund west,1.0,0,1,0,0,0
16200000.0,2495.0,panvel,4.0,1,1,1,0,1
14500000.0,791.0,kandivali west,2.0,1,1,1,0,1
2650000.0,420.0,ulwe,1.0,0,0,0,0,0
9200000.0,945.0,bhayandar east,2.0,1,1,1,0,1
17250000.0,915.0,andheri  east,2.0,1,1,1,1,1
9600000.0,950.0,thane west,2.0,1,1,0,0,1
13500000.0,650.0,santacruz east,1.0,0,1,0,0,0
12800000.0,1100.0,sainath nagar,2.0,0,1,1,1,0
6700000.0,670.0,thane west,1.0,0,0,0,0,0
15300000.0,688.0,malad west,2.0,1,1,1,0,1
2300000.0,480.0,dombivli (west),1.0,0,0,0,0,0
9000000.0,1220.0,sector 5 ulwe,3.0,0,1,1,1,0
14200000.0,950.0,malad west,2.0,0,1,1,0,0
26250000.0,1600.0,borivali west,3.0,1,0,0,0,1
7500000.0,550.0,thane west,1.0,1,1,1,0,1
8355000.0,1055.0,mira road east,2.0,1,1,1,0,1
4600000.0,600.0,sector 36 kharghar,1.0,0,0,1,1,0
19000000.0,1350.0,malad west,3.0,1,1,1,0,1
6000000.0,335.0,ghatkopar east,1.0,1,1,1,1,1
2068500.0,653.0,mumbai,1.0,1,1,1,1,0
17000000.0,1050.0,goregaon west,3.0,0,1,0,0,0
5000000.0,650.0,sector 20 kharghar,1.0,1,1,1,1,0
18000000.0,1120.0,kandivali east,2.0,1,1,1,0,1
6300000.0,850.0,panvel,2.0,1,1,1,1,1
26500000.0,910.0,powai,2.0,1,1,1,0,1
3500000.0,650.0,ulwe,1.0,0,1,0,0,0
26500000.0,1250.0,andheri  west,2.0,1,1,0,0,1
17000000.0,1050.0,magathane,2.0,0,1,1,1,0
27500000.0,1000.0,borivali west,3.0,1,0,0,0,0
10500000.0,1098.0,thane west,2.0,1,1,0,0,0
23000000.0,1000.0,juhu,2.0,0,0,0,0,0
12100000.0,690.0,kolshet road,2.0,0,0,1,0,0
2500000.0,675.0,boisar,2.0,1,1,0,0,1
14950000.0,1845.0,kharghar,3.0,1,1,1,1,1
14800000.0,1055.0,kanjurmarg,2.0,1,1,0,0,0
112500000.0,1340.0,napeansea road,3.0,0,1,0,0,0
8000000.0,810.0,mumbai highway,2.0,1,1,1,0,0
8700000.0,525.0,kandivali east,1.0,1,1,1,0,1
9485000.0,963.0,thane west,2.0,1,1,1,0,1
2669000.0,639.0,titwala,1.0,0,1,0,0,0
26500000.0,1494.0,thakur village,3.0,0,1,1,1,0
18000000.0,1060.0,wadala east wadala,2.0,1,1,1,1,0
2099000.0,882.0,khalapur,1.0,1,1,0,0,1
65000000.0,2695.0,wadala,4.0,1,1,1,0,1
10000000.0,1340.0,unknown,3.0,1,1,1,0,1
34500000.0,2465.0,kandivali east,3.0,1,1,1,0,1
14000000.0,1050.0,thane west,2.0,1,1,1,0,1
2250000.0,610.0,badlapur east,1.0,1,1,0,0,1
10500000.0,1078.0,ulwe,2.0,1,0,1,1,1
28500000.0,1289.0,goregaon west,3.0,0,0,0,0,0
5200000.0,700.0,kharghar,1.0,1,1,1,1,1
4000000.0,577.0,kalyan west,1.0,1,1,0,0,1
4500000.0,600.0,greater khanda,1.0,0,1,0,0,0
4500000.0,665.0,taloja,1.0,0,0,0,0,0
7959999.0,755.0,kalyan west,2.0,0,1,1,1,0
8200000.0,685.0,malad west,1.0,1,1,1,0,0
2600000.0,545.0,nala sopara,1.0,1,1,1,0,1
19000000.0,1150.0,rajendra nagar,3.0,0,1,1,0,0
12400000.0,1300.0,unknown,3.0,0,1,1,1,0
11500000.0,650.0,borivali west,1.0,0,1,0,0,0
9000000.0,1225.0,ghansoli,3.0,0,0,0,0,0
8000000.0,1027.0,ulwe,2.0,1,0,1,1,1
16500000.0,1500.0,kharghar,3.0,1,1,1,0,1
18500000.0,1020.0,borivali east,2.0,1,1,1,0,1
2800000.0,375.0,mulund east,1.0,0,1,1,1,0
27000000.0,1502.0,powai,3.0,1,1,1,1,1
7500000.0,800.0,ulwe,1.0,0,1,0,0,0
9499000.0,692.0,chembur,1.0,1,1,1,0,0
55700000.0,1181.0,andheri  west,3.0,1,1,1,0,1
6000000.0,1080.0,unknown,2.0,1,1,1,0,1
9200000.0,940.0,thane west,2.0,1,1,0,0,1
24100000.0,2090.0,thane west,3.0,1,1,1,0,1
10900000.0,684.0,thane west,2.0,1,0,1,0,1
9800000.0,600.0,malad west,1.0,0,0,0,0,0
19600000.0,1250.0,chembur,2.0,0,1,1,1,0
6100000.0,1150.0,dronagiri,2.0,0,1,1,0,0
7000000.0,560.0,kandivali west,1.0,0,0,0,0,0
5500000.0,980.0,kalyan west,2.0,1,0,0,0,1
16000000.0,750.0,borivali west,2.0,0,0,0,0,0
20000000.0,1440.0,seawoods,3.0,1,1,1,0,1
20000000.0,925.0,borivali west,2.0,0,1,0,0,0
9000000.0,350.0,jawahar nagar,1.0,0,1,1,1,0
6500000.0,525.0,malad west,1.0,0,0,0,0,0
9500000.0,1150.0,unknown,2.0,1,1,0,0,0
6000000.0,892.0,dahisar east,2.0,0,1,0,0,0
6200000.0,650.0,kharghar,1.0,0,1,1,1,0
5500000.0,550.0,kharghar,1.0,1,1,1,1,1
20500000.0,1067.0,chembur,2.0,1,1,1,1,0
9500000.0,1000.0,kharghar,2.0,1,1,1,1,1
16299999.0,1063.0,thakur village,2.0,0,0,1,1,0
6320000.0,384.0,mira road east,1.0,1,1,1,0,0
8500000.0,1075.0,ulwe,2.0,0,0,0,0,0
10000000.0,475.0,andheri  east,1.0,0,0,0,0,0
6000000.0,550.0,dahisar,1.0,1,1,0,0,1
10900000.0,901.0,thane west,2.0,1,1,1,0,1
2700000.0,615.0,nalasopara west,1.0,0,0,0,0,0
16500000.0,1508.0,ulwe,3.0,1,1,0,0,0
4000000.0,600.0,sector 17 ulwe,2.0,1,0,1,1,0
20800000.0,1214.0,thane west,3.0,1,0,0,0,0
71000000.0,2580.0,worli,3.0,1,1,1,0,1
11000000.0,1550.0,kharghar,3.0,1,1,1,1,0
4000000.0,1380.0,boisar,3.0,1,1,0,0,1
2350000.0,540.0,unknown,1.0,1,1,1,1,0
6000000.0,1000.0,dronagiri,2.0,1,0,0,0,1
5600000.0,600.0,unknown,1.0,1,1,0,0,1
16500000.0,1550.0,thane west,3.0,0,0,0,0,0
11299999.0,600.0,borivali east,1.0,1,0,1,0,1
9000000.0,524.0,borivali west,1.0,1,1,0,0,1
7900000.0,940.0,kamothe,2.0,1,1,1,1,0
3499000.0,420.0,unknown,1.0,0,1,0,0,0
5500000.0,750.0,vasai west,2.0,0,0,0,0,0
5700000.0,1060.0,taloja,2.0,0,0,1,1,0
5000000.0,950.0,kalyan west,2.0,1,1,1,0,1
9500000.0,1120.0,kharghar,2.0,1,1,1,1,1
23900000.0,1042.0,wadala east,2.0,1,1,0,1,1
6798999.0,577.0,thane west,2.0,1,1,1,0,0
12500000.0,880.0,thane west,2.0,1,1,1,0,1
18500000.0,1050.0,dattapada,2.0,0,1,1,1,0
13500000.0,1066.0,thane west,2.0,0,0,0,0,0
8500000.0,1448.0,vasai west,3.0,0,0,0,0,0
3900000.0,975.0,virar,2.0,0,1,1,0,0
11500000.0,860.0,marol,1.0,1,0,0,0,1
13500000.0,1300.0,kharghar,3.0,1,0,1,1,1
9200000.0,1160.0,mira road east,2.0,1,1,0,0,1
4095000.0,830.0,virar,2.0,1,1,1,0,0
