id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
6936,PROJECT,Sheth Vasant Lawns,Sheth Vasant Lawns,,"Majiwada, Thane",₹1.95 Cr | ₹2.5 Cr | ₹3.45 Cr,,,,,4 BHK,,,,"TCS, Yantra Park | Pokharan Rd Number 2","Check out 2,3,4 BHK apartments in Majiwada, now available for sale at Sheth Vasant Lawns. Apartments in Sheth Vasant Lawns have CARPET area ranging between 840 - 1,418 sqft. Sheth Vasant Lawns 's RERA registration number is P51700003655. Apartment prices in this housing society vary in the range of Rs. 1.95 - 3.45 Cr",Ashwin Sheth Group,,,https://www.99acres.com/sheth-vasant-lawns-majiwada-mumbai-thane-npxid-r6936,2 BHK Apartment: ₹1.95 Cr | 3 BHK Apartment: ₹2.5 Cr | 4 BHK Apartment: ₹3.45 Cr,4
438126,PROJECT,Squarefeet Debonair Classic,Squarefeet Debonair Classic,,"Panch Pakhadi, Thane West",₹1.57 - 1.8 Cr | ₹2.17 - 3.43 Cr | ₹4.75 - 5.55 Cr,,,,,4 BHK,,,,Saraswati High School & Junior College | N.K.T.T College of Commerce,"Squarefeet Debonair Classic society now offers elegantly built 2,3,4 BHK apartments in Panch Pakhadi. Apartments in this complex are available in price range of Rs. 1.57 - 5.55 Cr. The housing society is RERA-registered with P51700078007 registration number. Squarefeet Debonair Classic has apartments in multiple configurations, in range of 644 - 2,206 sqft",Squarefeet Group,,,https://www.99acres.com/squarefeet-debonair-classic-panch-pakhadi-mumbai-thane-npxid-r438126,2 BHK Apartment: ₹1.57 - 1.8 Cr | 3 BHK Apartment: ₹2.17 - 3.43 Cr | 4 BHK Apartment: ₹4.75 - 5.55 Cr,4
269071,PROJECT,Sheth Zuri,Sheth Zuri,,"Laxmi Nagar, Thane West",₹1.17 Cr | ₹1.42 - 1.8 Cr,,,,,2 BHK,,,,"Jupiter Hospital, Thane | Cadbury Junction","Choose your dream home from the wide variety of 1,2 BHK apartments in Laxmi Nagar, available for sale in Sheth Zuri. This society offers apartments in the price range of Rs. 1.17 - 1.8 Cr. Sheth Zuri is a RERA- registered society and P51700007274 is the RERA registration number. Sheth Zuri has apartments in multiple configurations, in range of 426 - 654 sqft",Ashwin Sheth Group,,,https://www.99acres.com/sheth-zuri-laxmi-nagar-mumbai-thane-npxid-r269071,1 BHK Apartment: ₹1.17 Cr | 2 BHK Apartment: ₹1.42 - 1.8 Cr,4
272903,PROJECT,Samrin Heritage,Samrin Heritage,,"Panch Pakhadi, Thane West",₹91.75 L - 1.05 Cr | ₹1.76 - 2.01 Cr | ₹2.68 Cr,,,,,3 BHK,,,,Thane Railway Station | Eastern express highway,"Check out 1,2,3 BHK apartments in Panch Pakhadi, now available for sale at Samrin Heritage. Samrin Heritage 's RERA registration number is P51700016394. Apartments in Samrin Heritage have CARPET area ranging between 367 - 1,073 sqft. Prices of apartments in this project, vary between Rs. 91.75 L - 2.68 Cr",Samrin Group,,,https://www.99acres.com/samrin-heritage-panch-pakhadi-mumbai-thane-npxid-r272903,1 BHK Apartment: ₹91.75 L - 1.05 Cr | 2 BHK Apartment: ₹1.76 - 2.01 Cr | 3 BHK Apartment: ₹2.68 Cr,4
8484,PROJECT,Rustomjee Azziano,Rustomjee Azziano,,"Majiwada, Thane",₹1.28 - 1.43 Cr | ₹2.06 - 2.15 Cr,,,,,3 BHK,,,,Rustomjee Cambridge International School | Mumbai Agra National Highway,"Rustomjee Azziano, one of the known housing societes in Thane, brings classic yet modern 2,3 BHK apartments in Majiwada. This society offers apartments in the price range of Rs. 1.28 - 2.15 Cr. Rustomjee Azziano is a RERA- registered society and P51700001453 is the RERA registration number. Rustomjee Azziano apartments are available in multiples sizes, ranging from 726 - 1,052 sqft CARPET area",Rustomjee Builders,,,https://www.99acres.com/rustomjee-azziano-majiwada-mumbai-thane-npxid-r8484,2 BHK Apartment: ₹1.28 - 1.43 Cr | 3 BHK Apartment: ₹2.06 - 2.15 Cr,4
179379,PROJECT,One Hiranandani Park,One Hiranandani Park,,"Hiranandani Estate, Thane",₹1.18 - 1.24 Cr | ₹1.55 Cr | ₹4.6 - 4.78 Cr | ₹5.66 - 7.5 Cr,,,,,4 BHK,,,,"Hiranandani Hospital, Thane | Orchids The International School Thane","Here are beautifully built 1,2,3,4 BHK apartments in Hiranandani Estate, available for sale at One Hiranandani Park. Apartments in this complex are available in price range of Rs. 1.18 - 7.5 Cr. This society is RERA approved and P51700000089 is the RERA number. One Hiranandani Park apartments are available in multiples sizes, ranging from 434 - 2,250 sqft CARPET area",Hiranandani Developers,,,https://www.99acres.com/one-hiranandani-park-hiranandani-estate-mumbai-thane-npxid-r179379,1 BHK Apartment: ₹1.18 - 1.24 Cr | 2 BHK Apartment: ₹1.55 Cr | 3 BHK Apartment: ₹4.6 - 4.78 Cr | 4 BHK Apartment: ₹5.66 - 7.5 Cr,4
330299,PROJECT,Eternia at Kalpataru Parkcity,Eternia at Kalpataru Parkcity,,"Kolshet Road, Thane",₹1.17 - 1.91 Cr | ₹2.19 - 4.08 Cr | ₹5.26 Cr,,,,,4 BHK,,,,Eastern Express Highway | University of Mumbai,"Eternia at Kalpataru Parkcity society now offers elegantly built 2,3,4 BHK apartments in Kolshet Road. Eternia at Kalpataru Parkcity apartments are available in multiples sizes, ranging from 464 - 1,753 sqft CARPET area. Prices of apartments in this project, vary between Rs. 1.17 - 5.26 Cr. The housing society is RERA-registered with P51700020196 registration number",Kalpataru,,,https://www.99acres.com/eternia-at-kalpataru-parkcity-kolshet-road-thane-npxid-r330299,2 BHK Apartment: ₹1.17 - 1.91 Cr | 3 BHK Apartment: ₹2.19 - 4.08 Cr | 4 BHK Apartment: ₹5.26 Cr,4
R89052338,PROPERTY,"2 BHK Flat in Hiranandani Estate, Thane","2 BHK Flat in Hiranandani Estate, Thane",Hiranandani Skylark Enclave,"Hiranandani Estate, Thane",₹2.7 Cr,"₹31,764 /sqft",850 sqft,(79 sqm),Carpet Area,2 BHK,2,Ready To Move,16th out of 28 Floors | Overlooking Park,,"The flat is east-Facing. The flat occupies a carpet area of 850 sq.Ft. That consists of 2 bedrooms, 2 bathrooms . The flat has a total of 28 floors and this property is situated on 16th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The flat comes well built with marble flooring options. The flat will offer a modern lifestyle as it is p...",IntellAgent,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-skylark-enclave-hiranandani-estate-mumbai-thane-850-sqft-spid-R89052338,,4
30184,PROJECT,Highland Haven,Highland Haven,,"Balkum, Thane",₹69.66 - 97.67 L | ₹1 - 1.18 Cr,,,,,2 BHK,,,,GoMechanic - Highway Motors | D.A.V. Public School,"Finest 1,2 BHK apartments in Balkum available for sale in Highland Haven. This society offers apartments in the price range of Rs. 69.66 L - 1.18 Cr. Highland Haven is a RERA- registered society and P51700006850 is the RERA registration number. Highland Haven apartments are available in multiples sizes, ranging from 388 - 656 sqft CARPET area",Siddhi Group Thane,,,https://www.99acres.com/highland-haven-balkum-mumbai-thane-npxid-r30184,1 BHK Apartment: ₹69.66 - 97.67 L | 2 BHK Apartment: ₹1 - 1.18 Cr,4
Q83146396,PROPERTY,"4 BHK Flat in Hiranandani Estate, Thane","4 BHK Flat in Hiranandani Estate, Thane",Hiranandani Lake Enclave,"Hiranandani Estate, Thane",₹6.95 Cr,"₹39,379 /sqft","1,764.86 sqft",(164 sqm),Carpet Area,4 BHK,4,Ready To Move,9th out of 29 Floors | Overlooking Swimming Pool,,"This 4 bhk flat is located in hiranandani lake enclave, which houses some of the most spacious flats in hiranandani estate, thane. The flat is facing the east direction. Containing 4 bedroom(s), 4 bathrooms and 1 balcony, this flat is spread over a carpet area of 1765 sq.Ft. This flat lies on the 9th level of a 29 storey building. As the project is already ready to move, so you can easily move ...",IntellAgent,,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-lake-enclave-hiranandani-estate-mumbai-thane-1765-sqft-spid-Q83146396,,4
