title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,furnished,total_floors,new_latitude,new_longitude,new_pincode
 ,4500000,585,7692.307692307692,Dombivli,Mumbai,Apartment,1,1,Unfurnished,1,19.2251644,73.0796814,421201
Darshan Paton Tower,6799999,323,21052.628482972137,Kandivali,Mumbai,Apartment,1,1,Unfurnished,1,19.1943016,72.8680954,400067
Adityaraj Landmark,15500000,774,20025.839793281655,Vikhroli,Mumbai,Apartment,3,3,Unfurnished,1,19.1123524,72.9308395,400079
 ,19800000,950,20842.105263157893,Goregaon,Mumbai,Apartment,2,2,Unfurnished,1,19.1602707,72.8467484,400062
Today Saubhagyam Phase II,4150000,650,6384.615384615385,Panvel,Mumbai,Apartment,1,1,Unfurnished,1,18.9449368,73.1369858,410206
Square Shree Udyan,71300000,1400,50928.57142857143,Mahim,Mumbai,Apartment,3,3,Unfurnished,1,19.0302868,72.8395462,401403
Om Unnati,1950000,425,4588.235294117647,Taloja,Mumbai,Apartment,1,1,Unfurnished,1,19.0783186,73.0981865,410208
 ,9200000,1200,7666.666666666667,Ulwe,Mumbai,Apartment,2,2,Semi-Furnished,1,18.9729176,73.025032,410206
 ,6500000,555,11711.711711711712,Kasaradavali Thane,Mumbai,Apartment,1,2,Unfurnished,1,19.2682152,72.9693146,400607
Bhoomi Simana Wing A Phase 1,53000000,1350,39259.25925925926,Parel,Mumbai,Apartment,3,3,Semi-Furnished,1,18.9987946,72.8433838,400012
JP North,9900000,1020,9705.882352941177,Mira Road,Mumbai,Apartment,2,2,Unfurnished,1,19.2748103,72.8581962,401107
JP North,6800000,850,8000.0,Mira Road,Mumbai,Apartment,1,2,Unfurnished,1,19.2748103,72.8581962,401107
 ,8500000,595,14285.714285714286,Dahisar,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2522278,72.864357,400068
Nrose Northern Hills,29400000,1252,23482.428115015973,Dahisar,Mumbai,Apartment,3,2,Semi-Furnished,1,19.248867,72.8638229,400068
 ,11500000,890,12921.348314606741,Dahisar,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2522278,72.864357,400068
 ,13500000,1850,7297.2972972972975,Kharghar,Mumbai,Apartment,3,3,Semi-Furnished,1,19.0708218,73.0739594,410210
 ,28500000,1100,25909.090909090908,Dahisar,Mumbai,Apartment,3,3,Furnished,1,19.2522278,72.864357,400068
Hiral Hiral Splendour,13000000,850,15294.117647058823,Dahisar,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2522278,72.864357,400068
 ,19500000,850,22941.176470588234,Dahisar,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2522278,72.864357,400068
Raj Rudraksha,14000000,809,17305.3152039555,Dahisar,Mumbai,Apartment,2,2,Furnished,1,19.2513428,72.8720474,400068
 ,33300000,1180,28220.338983050846,Chembur,Mumbai,Apartment,2,2,Unfurnished,1,19.0544338,72.8968964,400071
Arihant Clan Aalishan Phase II,11800000,1800,6555.555555555556,Kharghar,Mumbai,Apartment,3,3,Semi-Furnished,1,19.0820046,73.0825119,410210
Om Sai Enterprises Paradise,13900000,1480,9391.891891891892,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2012711,73.0939026,421201
Om Sai Enterprises Paradise,7700000,880,8750.0,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2012711,73.0939026,421201
Paradise Sai World Dreams,4900000,580,8448.275862068966,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.1852322,73.0932465,421201
Reza Grandeur,14000000,1415,9893.992932862191,Kharghar,Mumbai,Apartment,3,3,Unfurnished,1,19.0734081,73.0731049,410210
A And A Sheetal Kiara,14500000,666,21771.77177177177,Goregaon,Mumbai,Apartment,2,2,Unfurnished,1,19.1659489,72.8471985,400062
Shreeji Urban BKC Crown,16000000,757,21136.063408190224,Kurla,Mumbai,Apartment,2,2,Semi-Furnished,1,19.0731296,72.8826904,400070
Rudra Mahadev,3800000,710,5352.112676056338,Ulwe,Mumbai,Apartment,1,2,Unfurnished,1,18.9729176,73.025032,410206
Sanket Solitaire Aawas,21000000,920,22826.08695652174,Chembur,Mumbai,Apartment,2,2,Unfurnished,1,19.0709629,72.8991699,400071
Triveni Crown,7200000,863,8342.989571263035,Kalyan,Mumbai,Apartment,2,2,Unfurnished,1,19.2506428,73.1188736,421301
Triveni Crown,5300000,646,8204.334365325078,Kalyan,Mumbai,Apartment,1,2,Unfurnished,1,19.2506428,73.1188736,421301
SBM Sky,11600000,620,18709.677419354837,Thane,Mumbai,Apartment,2,2,Unfurnished,1,19.2115822,72.9604187,400601
SBM Sky,10000000,620,16129.032258064517,Thane,Mumbai,Apartment,2,2,Unfurnished,1,19.2115822,72.9604187,400601
 ,60000000,1860,32258.064516129034,Andheri,Mumbai,Apartment,3,4,Semi-Furnished,1,19.1270065,72.8389206,400053
 ,12500000,1000,12500.0,Vashi,Mumbai,Apartment,2,2,Semi-Furnished,1,19.08074,73.0001373,400703
Adityaraj Majestic,9800000,600,16333.333333333334,Chembur,Mumbai,Apartment,1,2,Unfurnished,1,19.0525131,72.9052887,400071
Neminath Heights,14400000,1452,9917.355371900827,Mira Road,Mumbai,Apartment,3,3,Semi-Furnished,1,19.2910214,72.878952,401107
Neminath Heights,9800000,1060,9245.283018867925,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2910214,72.878952,401107
 ,16630000,621,26779.38808373591,Santacruz,Mumbai,Apartment,2,2,Unfurnished,1,19.0792484,72.8505402,400054
PNK Space Tiara Hills Phase I Bldg No 3 5 And 2,6000000,675,8888.888888888889,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2772121,72.8874359,401107
Royal Palms Piccadilly Condos,2900000,490,5918.367346938776,Goregaon,Mumbai,Apartment,1,1,Unfurnished,1,19.1539536,72.8853836,400062
Royal Palms Palms Residences,7600000,800,9500.0,Goregaon,Mumbai,Apartment,2,2,Semi-Furnished,1,19.1535015,72.8852844,400062
PNK Imperial Heights,6400000,675,9481.481481481482,Mira Road,Mumbai,Apartment,1,2,Semi-Furnished,1,19.2723217,72.874527,401107
PNK Imperial Heights,9000000,995,9045.226130653265,Mira Road,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2723217,72.874527,401107
Reputed Builder Prathmesh Heritage,12100000,1030,11747.57281553398,Mira Road,Mumbai,Apartment,2,2,Furnished,1,19.2980537,72.8760529,401107
Squarefeet Grace Square,5700000,850,6705.882352941177,Mumbra,Mumbai,Apartment,2,2,Unfurnished,1,19.1695538,73.0227966,400612
Squarefeet Grace Square,6900000,1050,6571.428571428572,Mumbra,Mumbai,Apartment,2,2,Unfurnished,1,19.1695538,73.0227966,400612
Meraki ONE MERAKI,29500000,772,38212.43523316062,Chembur,Mumbai,Apartment,2,2,Semi-Furnished,1,19.0518131,72.9002075,400071
 ,12700000,420,30238.095238095237,Jogeshwari,Mumbai,Apartment,1,2,Unfurnished,1,19.1397228,72.8440399,400060
 ,16500000,665,24812.03007518797,Dahisar,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2522278,72.864357,400068
Chandak Cornerstone,32500000,720,45138.88888888889,Worli,Mumbai,Apartment,2,2,Unfurnished,1,18.9981194,72.8150482,400018
Indiabulls Sky Forest,168750000,1875,90000.0,Lower Parel,Mumbai,Apartment,4,4,Unfurnished,1,19.0076237,72.8328934,400013
Dhariwal Magathane Press Enclave CHSL,28000000,1149,24369.016536118364,Borivali,Mumbai,Apartment,3,3,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,10500000,551,19056.261343012706,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,14000000,673,20802.377414561663,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,13500000,673,20059.435364041605,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,11000000,550,20000.0,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,13800000,676,20414.201183431953,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2169342,72.867424,400091
Dhariwal Magathane Press Enclave CHSL,11300000,551,20508.166969147005,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2169342,72.867424,400091
Meraki ONE MERAKI,47000000,1221,38493.03849303849,Chembur,Mumbai,Apartment,3,3,Semi-Furnished,1,19.0518131,72.9002075,400071
B G Shirke Monte Verita West Tower,14500000,718,20194.9860724234,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2240086,72.8688507,400091
BG Shirke Parijat Hill View,10500000,534,19662.921348314605,Borivali,Mumbai,Apartment,1,2,Unfurnished,1,19.2225027,72.8680916,400091
 ,7200000,600,12000.0,Bhayandar,Mumbai,Apartment,1,1,Semi-Furnished,1,19.3009624,72.8649674,401107
Chandak GREENAIRY,19000000,724,26243.093922651933,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2226448,72.8653488,400091
Chandak GREENAIRY,20000000,750,26666.666666666668,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2226448,72.8653488,400091
Chandak GREENAIRY,19500000,732,26639.344262295082,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2226448,72.8653488,400091
CCI Rivali Park Stargaze,18200000,822,22141.11922141119,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2158585,72.8644562,400091
CCI Rivali Park Stargaze,25000000,914,27352.297592997813,Borivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2158585,72.8644562,400091
CCI Rivali Park Stargaze,25800000,1048,24618.320610687024,Borivali,Mumbai,Apartment,3,3,Unfurnished,1,19.2158585,72.8644562,400091
CCI Rivali Park Moonrise,29400000,1105,26606.33484162896,Borivali,Mumbai,Apartment,3,3,Unfurnished,1,19.2267304,72.8598785,400091
CCI Rivali Park Moonrise,30000000,1296,23148.14814814815,Borivali,Mumbai,Apartment,3,3,Unfurnished,1,19.2267304,72.8598785,400091
Renaissance SPRING MEADOWS,7800000,440,17727.272727272728,Malad,Mumbai,Apartment,1,1,Unfurnished,1,19.1899204,72.850769,400064
Renaissance SPRING MEADOWS,7500000,440,17045.454545454544,Malad,Mumbai,Apartment,1,2,Unfurnished,1,19.1899204,72.850769,400064
Renaissance SPRING MEADOWS,7700000,440,17500.0,Malad,Mumbai,Apartment,1,1,Unfurnished,1,19.1899204,72.850769,400064
